ingredient,calories_pct,protein_pct,fat_pct,sodium_pct
almond,413.57,294.02,589.45,360.41
amaretto,20.84,12.26,27.83,4.7
anchovy,16.64,17.26,29.96,15.93
anise,19.04,33.17,22.5,22.7
apple,361.32,265.92,510.82,323.07
apple juice,18.46,25.0,18.27,3.72
apricot,3217.72,888.35,4713.84,2562.97
artichoke,30.67,64.89,48.35,39.74
arugula,24.79,47.03,40.02,59.81
asian pear,16.79,24.77,23.18,70.81
asparagus,27.53,59.06,43.2,25.26
avocado,22.04,36.09,38.85,24.2
bacon,33.21,68.16,51.03,47.0
banana,26.73,18.12,33.39,10.31
barley,32.39,59.51,50.03,29.1
basil,25.46,48.36,38.6,29.92
bass,21.46,83.75,26.69,170.51
bean,28.54,61.2,36.8,37.55
beef,40.83,99.67,69.81,49.52
beef rib,113.45,185.79,247.54,53.78
beef shank,25.2,91.8,28.33,46.07
beef tenderloin,44.81,122.78,81.73,107.44
beer,31.5,67.44,47.7,55.49
beet,17.32,25.03,27.06,36.81
bell pepper,23.92,52.39,34.76,35.17
berry,6788.29,1821.45,9951.07,5417.74
biscuit,24.86,27.0,39.42,43.3
bitters,8.82,2.0,1.74,1.25
blackberry,25.89,18.4,30.2,7.74
blue cheese,24.2,42.11,41.87,30.09
blueberry,11384.02,3046.06,16691.03,9090.52
bok choy,21.22,42.1,33.4,49.64
bourbon,35.79,35.47,53.38,27.65
bran,10.23,6.67,14.1,9.81
brandy,27.25,36.1,35.28,17.8
bread,20.17,21.09,22.2,25.23
breadcrumbs,44.97,130.53,64.23,97.19
brie,22.61,42.67,36.18,27.87
brisket,50.22,112.44,91.07,46.12
broccoli,20.95,40.68,29.3,35.03
broccoli rabe,31.08,51.89,48.68,28.42
brown rice,18.9,18.73,18.41,9.17
brownie,12.7,6.0,19.23,5.74
brussel sprout,24.66,47.0,42.74,25.17
butter,26.66,27.29,38.73,22.21
buttermilk,35.28,39.95,55.31,31.36
butternut squash,24.73,39.27,31.67,23.51
cabbage,24.35,61.19,34.79,45.91
calvados,34.89,80.31,45.96,117.3
campari,14.92,4.0,0.51,0.37
candy,13.83,6.35,14.04,3.97
cantaloupe,10.57,14.12,9.09,8.78
capers,23.26,48.89,40.02,67.99
caraway,24.27,54.96,35.23,23.46
cardamom,18.59,40.83,23.99,24.02
carrot,836.91,1896.42,1147.41,565.5
cashew,22.09,30.79,37.71,15.47
cauliflower,20.58,30.4,34.65,30.67
celery,26.56,83.41,35.06,70.93
chambord,14.58,2.0,1.28,1.75
champagne,11.3,2.54,1.9,1.91
chard,24.9,48.23,38.21,32.18
chartreuse,12.28,3.0,7.69,1.75
cheddar,22.2,41.98,33.59,30.71
cheese,26.45,45.28,40.71,34.31
cherry,25.84,21.7,31.86,14.84
chestnut,27.14,37.74,38.21,24.74
chicken,46.14,119.07,75.09,40.85
chickpea,33.99,63.6,50.34,37.05
chile,19.94,38.67,38.89,17.13
chile pepper,19.91,44.46,30.63,43.1
chili,33.67,149.0,32.69,68.76
chive,17.27,30.55,26.98,20.19
chocolate,289.74,197.68,416.37,242.78
cilantro,20.22,46.8,31.94,30.15
cinnamon,717.12,1050.41,201.94,1008.17
citrus,26.15,43.18,40.22,21.85
clam,40.13,164.45,33.71,138.22
clove,1594.58,2355.71,425.3,2308.85
coconut,29.87,31.46,43.57,23.58
cod,24.37,70.61,31.61,57.62
coffee,26.45,22.73,35.8,19.0
collard greens,16.61,32.84,26.72,24.92
condiment,16.18,22.28,24.11,32.0
coriander,24.66,58.72,40.59,61.7
corn,23.15,42.7,32.31,41.54
cornmeal,25.42,29.64,34.66,29.67
cottage cheese,16.0,27.33,22.74,21.42
couscous,75.39,133.73,55.15,41.27
crab,23.54,52.33,36.84,40.47
cranberry,7646.6,2049.94,11207.6,6104.51
cream cheese,30.25,19.61,48.51,19.56
créme de cacao,16.22,6.75,14.58,2.11
crêpe,58.4,70.0,96.15,24.48
cucumber,14.11,25.18,20.81,45.46
cumin,28.13,60.44,49.93,37.32
currant,27.61,32.6,32.05,31.5
curry,29.08,63.59,46.66,29.71
custard,15.05,10.0,16.67,12.48
dairy,24.68,27.91,36.76,17.33
date,22.25,19.2,26.88,10.41
dill,19.4,39.39,29.75,32.92
duck,68.71,105.51,137.65,32.2
eau de vie,25.75,26.4,36.41,6.72
egg,1133.91,322.44,1663.26,911.48
egg nog,11.18,14.0,13.03,9.81
eggplant,26.03,40.81,40.86,41.75
endive,15.75,24.14,28.25,28.96
escarole,25.99,41.82,46.5,32.81
fennel,24.93,62.86,37.3,30.13
feta,22.3,35.5,36.98,27.67
fig,26.74,30.98,33.23,15.2
fish,26.16,73.37,39.36,66.15
fontina,36.7,54.33,55.13,51.52
fortified wine,45.03,119.94,63.75,47.23
frangelico,24.32,12.5,34.54,4.66
garlic,29.38,63.99,49.48,39.17
gin,12.91,8.04,4.61,2.42
ginger,25.14,46.52,35.48,30.37
goat cheese,22.57,33.03,36.78,24.11
goose,156.35,262.36,332.4,50.14
gouda,22.51,38.29,34.25,40.44
grains,49.93,95.0,59.4,48.35
grand marnier,,,,
granola,21.54,15.0,38.78,9.3
grape,25.2,32.93,31.9,10.92
grapefruit,14.67,16.76,14.01,12.09
grappa,137.0,69.5,162.5,13.67
green bean,17.22,28.45,28.05,19.92
green onion/scallion,20.93,36.33,30.27,42.64
ground beef,32.2,77.03,46.1,43.41
ground lamb,8191.76,12084.86,2098.53,11745.55
