recipe_name,rating,url
"Lentil, Apple, and Turkey Wrap ",2.5,https://www.epicurious.com/recipes/food/views/lentil-apple-and-turkey-wrap
Boudin Blanc Terrine with Red Onion Confit ,4.375,https://www.epicurious.com/recipes/food/views/boudin-blanc-terrine-with-red-onion-confit
Potato and Fennel Soup Hodge ,3.75,https://www.epicurious.com/recipes/food/views/potato-and-fennel-soup-hodge
Mahi-Mahi in Tomato Olive Sauce ,5.0,https://www.epicurious.com/recipes/food/views/mahi-mahi-in-tomato-olive-sauce
Spinach Noodle Casserole ,3.125,https://www.epicurious.com/recipes/food/views/spinach-noodle-casserole
The Best Blts ,4.375,https://www.epicurious.com/recipes/food/views/the-best-blts
Ham and Spring Vegetable Salad with Shallot Vinaigrette ,4.375,https://www.epicurious.com/recipes/food/views/ham-and-spring-vegetable-salad-with-shallot-vinaigrette
Spicy-Sweet Kumquats ,3.75,https://www.epicurious.com/recipes/food/views/spicy-sweet-kumquats
Korean Marinated Beef ,4.375,https://www.epicurious.com/recipes/food/views/korean-marinated-beef
Ham Persillade with Mustard Potato Salad and Mashed Peas ,3.75,https://www.epicurious.com/recipes/food/views/ham-persillade-with-mustard-potato-salad-and-mashed-peas
"Yams Braised with Cream, Rosemary and Nutmeg ",3.75,https://www.epicurious.com/recipes/food/views/yams-braised-with-cream-rosemary-and-nutmeg
Spicy Noodle Soup ,4.375,https://www.epicurious.com/recipes/food/views/spicy-noodle-soup
Banana-Chocolate Chip Cake With Peanut Butter Frosting ,4.375,https://www.epicurious.com/recipes/food/views/banana-chocolate-chip-cake-with-peanut-butter-frosting
Beef Tenderloin with Garlic and Brandy ,4.375,https://www.epicurious.com/recipes/food/views/beef-tenderloin-with-garlic-and-brandy
Peach Mustard ,3.125,https://www.epicurious.com/recipes/food/views/peach-mustard
Raw Cream of Spinach Soup ,4.375,https://www.epicurious.com/recipes/food/views/raw-cream-of-spinach-soup
Sweet Buttermilk Spoon Breads ,1.875,https://www.epicurious.com/recipes/food/views/sweet-buttermilk-spoon-breads
Crisp Braised Pork Shoulder ,4.375,https://www.epicurious.com/recipes/food/views/crisp-braised-pork-shoulder
Mozzarella-Topped Peppers with Tomatoes and Garlic ,5.0,https://www.epicurious.com/recipes/food/views/mozzarella-topped-peppers-with-tomatoes-and-garlic
"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",5.0,https://www.epicurious.com/recipes/food/views/tuna-asparagus-and-new-potato-salad-with-chive-vinaigrette-and-fried-capers
Asian Pear and Watercress Salad with Sesame Dressing ,4.375,https://www.epicurious.com/recipes/food/views/asian-pear-and-watercress-salad-with-sesame-dressing
"""Fried"" Chicken ",3.75,https://www.epicurious.com/recipes/food/views/fried-chicken
Fish Fillets in Parchment with Asparagus and Orange ,3.75,https://www.epicurious.com/recipes/food/views/fish-fillets-in-parchment-with-asparagus-and-orange
Pancetta and Taleggio Lasagna with Treviso ,3.75,https://www.epicurious.com/recipes/food/views/pancetta-and-taleggio-lasagna-with-treviso
