('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892134 function calls (870946 primitive calls) in 1.824 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      344    1.223    0.004    1.223    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.073    0.073    0.073    0.073 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.070    0.070    0.070    0.070 {method 'connect' of '_socket.socket' objects}
        1    0.060    0.060    0.062    0.062 {built-in method _socket.getaddrinfo}
        1    0.031    0.031    0.171    0.171 _lxml.py:488(feed)
     4431    0.019    0.000    0.100    0.000 _lxml.py:323(start)
       88    0.015    0.000    0.015    0.000 {built-in method _io.open_code}
 4466/178    0.014    0.000    0.040    0.000 _parser.py:511(_parse)
    24321    0.014    0.000    0.018    0.000 element.py:244(__setitem__)
     4431    0.013    0.000    0.021    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
155739/155737    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
      512    0.011    0.000    0.011    0.000 {built-in method nt.stat}
     4431    0.010    0.000    0.060    0.000 __init__.py:990(handle_starttag)
    11/10    0.010    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
 4974/169    0.010    0.000    0.021    0.000 _compiler.py:37(_compile)
       88    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
90588/85007    0.008    0.000    0.009    0.000 {built-in method builtins.len}
       65    0.008    0.000    0.008    0.000 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    13628    0.008    0.000    0.030    0.000 __init__.py:829(endData)
    82297    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     4432    0.006    0.000    0.030    0.000 element.py:1813(__init__)
    12918    0.005    0.000    0.005    0.000 element.py:382(setup)
     4431    0.005    0.000    0.034    0.000 _lxml.py:423(end)
     4431    0.005    0.000    0.009    0.000 __init__.py:953(_popToTag)
        2    0.005    0.002    0.005    0.002 {built-in method _ssl.enum_certificates}
     1379    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        4    0.004    0.001    0.028    0.007 filter.py:130(filter)
    25301    0.004    0.000    0.006    0.000 _parser.py:167(__getitem__)
    31087    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     7521    0.004    0.000    0.014    0.000 filter.py:540(matches_tag)
    11/10    0.004    0.000    0.009    0.001 {built-in method _imp.exec_dynamic}
      135    0.004    0.000    0.217    0.002 {method 'read' of '_io.BufferedReader' objects}
     4243    0.004    0.000    0.010    0.000 __init__.py:870(object_was_parsed)
     4432    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
    14560    0.004    0.000    0.019    0.000 filter.py:726(match)
 1054/169    0.004    0.000    0.041    0.000 _parser.py:451(_parse_sub)
 4889/319    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
     4243    0.003    0.000    0.007    0.000 element.py:1478(__new__)
      603    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
     4243    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
9590/9569    0.003    0.000    0.006    0.000 typing.py:426(inner)
