('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892107 function calls (870847 primitive calls) in 1.729 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
155609/155607    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
90716/85063    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    82365    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    31077    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    25373    0.004    0.000    0.006    0.000 _parser.py:167(__getitem__)
    24257    0.016    0.000    0.020    0.000 element.py:244(__setitem__)
    19697    0.002    0.000    0.002    0.000 _parser.py:239(__next)
    19266    0.002    0.000    0.002    0.000 _lxml.py:203(_getNsTag)
    16939    0.001    0.000    0.001    0.000 typing.py:2371(cast)
    14898    0.002    0.000    0.007    0.000 {built-in method builtins.next}
    14581    0.003    0.000    0.003    0.000 element.py:3090(descendants)
    14556    0.004    0.000    0.019    0.000 filter.py:726(match)
    13622    0.006    0.000    0.026    0.000 __init__.py:829(endData)
    13283    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    13229    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    12916    0.005    0.000    0.005    0.000 element.py:382(setup)
    12341    0.002    0.000    0.004    0.000 _parser.py:260(get)
    11236    0.001    0.000    0.002    0.000 _parser.py:163(__len__)
    10194    0.002    0.000    0.002    0.000 _parser.py:255(match)
9588/9567    0.003    0.000    0.005    0.000 typing.py:426(inner)
     7599    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     7517    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
     7517    0.004    0.000    0.014    0.000 filter.py:540(matches_tag)
     7445    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6616    0.001    0.000    0.002    0.000 _parser.py:175(append)
     6597    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     6527    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     6389    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     6201    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
     6034    0.002    0.000    0.005    0.000 _lxml.py:453(data)
     5827    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
     5484    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
 4974/169    0.010    0.000    0.022    0.000 _compiler.py:37(_compile)
 4889/319    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
     4732    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
4701/4693    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFADA3998A0}
     4691    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
 4466/178    0.014    0.000    0.040    0.000 _parser.py:511(_parse)
     4440    0.001    0.000    0.003    0.000 filter.py:629(_match_attribute_value_helper)
     4430    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     4430    0.003    0.000    0.004    0.000 __init__.py:812(pushTag)
     4430    0.005    0.000    0.027    0.000 element.py:1813(__init__)
     4430    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     4429    0.004    0.000    0.008    0.000 __init__.py:953(_popToTag)
     4429    0.009    0.000    0.019    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4429    0.017    0.000    0.089    0.000 _lxml.py:323(start)
     4429    0.002    0.000    0.003    0.000 __init__.py:789(popTag)
     4429    0.009    0.000    0.052    0.000 __init__.py:990(handle_starttag)
     4429    0.004    0.000    0.029    0.000 _lxml.py:423(end)
     4429    0.002    0.000    0.010    0.000 __init__.py:1056(handle_endtag)
     4429    0.000    0.000    0.000    0.000 _lxml.py:412(_prefix_for_namespace)
     4341    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4300    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4243    0.003    0.000    0.008    0.000 __init__.py:870(object_was_parsed)
     4243    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
     4243    0.003    0.000    0.006    0.000 element.py:1478(__new__)
     3970    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3871    0.001    0.000    0.001    0.000 element.py:2355(get)
     3871    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3784    0.003    0.000    0.007    0.000 filter.py:618(_attribute_match)
     3440    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     3310    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     2904    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2655    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2555    0.002    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
1685/1679    0.000    0.000    0.003    0.000 {built-in method builtins.getattr}
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1468    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1379    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
     1286    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1056    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
 1054/169    0.004    0.000    0.041    0.000 _parser.py:451(_parse_sub)
      957    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      774    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
      771    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      763    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      754    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      728    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      710    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      710    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      700    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      694    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      692    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
  690/642    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      680    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      653    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      635    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      634    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      603    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      603    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
      548    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      512    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      512    0.012    0.000    0.012    0.000 {built-in method nt.stat}
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      414    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      399    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      391    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      355    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      341    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      340    0.000    0.000    0.000    0.000 socket.py:744(readable)
      339    0.000    0.000    1.208    0.004 ssl.py:1129(read)
      339    0.000    0.000    1.209    0.004 ssl.py:1289(recv_into)
      339    0.000    0.000    1.209    0.004 socket.py:706(readinto)
      339    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      339    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      339    1.208    0.004    1.208    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      338    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      331    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      323    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
  323/322    0.003    0.000    0.032    0.000 {built-in method builtins.__build_class__}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      311    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      305    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      302    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      297    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      296    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      290    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      286    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      285    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      284    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      281    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      276    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      275    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      275    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
      266    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      266    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      262    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    257/7    0.000    0.000    0.175    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      255    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      244    0.000    0.000    0.000    0.000 enum.py:1217(__init__)
      235    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      231    0.001    0.000    0.071    0.000 __init__.py:330(_compile)
      230    0.000    0.000    0.071    0.000 __init__.py:287(compile)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      198    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      195    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
  195/160    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      183    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      182    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      174    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      169    0.000    0.000    0.001    0.000 enum.py:1607(__and__)
      169    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      169    0.000    0.000    0.005    0.000 _compiler.py:514(_compile_info)
      169    0.000    0.000    0.069    0.000 _compiler.py:743(compile)
      169    0.000    0.000    0.041    0.000 _parser.py:970(parse)
      169    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      169    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      169    0.000    0.000    0.027    0.000 _compiler.py:576(_code)
      169    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      168    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      166    0.000    0.000    0.001    0.000 _lxml.py:465(comment)
      158    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      151    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      145    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      145    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      145    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      145    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      145    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      144    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      144    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
