('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      345    1.276    0.004    1.276    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.807    0.807    0.807    0.807 {built-in method _socket.getaddrinfo}
        1    0.178    0.178    0.178    0.178 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.071    0.071    0.071    0.071 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.069    0.069    0.069    0.069 {method 'connect' of '_socket.socket' objects}
      170    0.027    0.000    0.027    0.000 {built-in method _io.open_code}
        1    0.027    0.027    0.153    0.153 _lxml.py:488(feed)
      945    0.021    0.000    0.021    0.000 {built-in method nt.stat}
     4399    0.018    0.000    0.089    0.000 _lxml.py:323(start)
 4825/220    0.017    0.000    0.048    0.000 _parser.py:511(_parse)
    23957    0.015    0.000    0.018    0.000 element.py:244(__setitem__)
      170    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
162410/162404    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
 5640/209    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
    12/11    0.010    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
     4399    0.009    0.000    0.050    0.000 __init__.py:990(handle_starttag)
     4399    0.009    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
102648/96204    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     2488    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
    93119    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    13532    0.006    0.000    0.027    0.000 __init__.py:829(endData)
      237    0.006    0.000    0.206    0.001 {method 'read' of '_io.BufferedReader' objects}
     4400    0.006    0.000    0.024    0.000 element.py:1813(__init__)
